Country,Year,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Czech Republic,2018,6.711,6.783,6.639,2.494,1.233,1.489,0.854,0.543,0.064,0.034
Malta,2018,6.627,6.709,6.544,1.784,1.270,1.525,0.884,0.645,0.376,0.142
France,2018,6.489,6.569,6.410,2.028,1.293,1.466,0.908,0.520,0.098,0.176
Mexico,2018,6.488,6.581,6.396,2.795,1.038,1.252,0.761,0.479,0.069,0.095
Chile,2018,6.476,6.565,6.388,2.517,1.131,1.331,0.808,0.431,0.197,0.061
Taiwan Province of China,2018,6.441,6.525,6.356,2.136,1.365,1.436,0.857,0.418,0.151,0.078
Panama,2018,6.430,6.539,6.321,2.336,1.112,1.438,0.759,0.597,0.125,0.063
Brazil,2018,6.419,6.515,6.323,2.592,0.986,1.474,0.675,0.493,0.110,0.088
Argentina,2018,6.388,6.485,6.291,2.418,1.073,1.468,0.744,0.570,0.062,0.054
Guatemala,2018,6.382,6.497,6.267,2.871,0.781,1.268,0.608,0.604,0.179,0.071
Uruguay,2018,6.379,6.474,6.284,2.147,1.093,1.459,0.771,0.625,0.130,0.155
Qatar,2018,6.374,6.568,6.181,1.593,1.649,1.303,0.748,0.654,0.256,0.171
Saudi Arabia,2018,6.371,6.481,6.260,2.293,1.379,1.331,0.633,0.509,0.098,0.127
Singapore,2018,6.343,6.406,6.280,1.005,1.529,1.451,1.008,0.631,0.261,0.457
Malaysia,2018,6.322,6.477,6.167,2.507,1.161,1.258,0.669,0.356,0.311,0.059
Spain,2018,6.310,6.388,6.231,1.892,1.251,1.538,0.965,0.449,0.142,0.074
Colombia,2018,6.260,6.358,6.162,2.556,0.960,1.439,0.635,0.531,0.099,0.039
Trinidad & Tobago,2018,6.192,6.416,5.968,2.148,1.223,1.492,0.564,0.575,0.171,0.019
Slovakia,2018,6.173,6.254,6.093,2.165,1.210,1.537,0.776,0.354,0.118,0.014
El Salvador,2018,6.167,6.272,6.061,2.884,0.806,1.231,0.639,0.461,0.065,0.082
Nicaragua,2018,6.141,6.256,6.026,2.590,0.668,1.319,0.700,0.527,0.208,0.128
Poland,2018,6.123,6.198,6.048,2.002,1.176,1.448,0.781,0.546,0.108,0.064
Bahrain,2018,6.105,6.191,6.019,1.743,1.338,1.366,0.698,0.594,0.243,0.123
Uzbekistan,2018,6.096,6.196,5.996,1.877,0.719,1.584,0.605,0.724,0.328,0.259
Kuwait,2018,6.083,6.171,5.996,1.805,1.474,1.301,0.675,0.554,0.167,0.106
Thailand,2018,6.072,6.161,5.984,1.902,1.016,1.417,0.707,0.637,0.364,0.029
Italy,2018,6.000,6.083,5.918,1.843,1.264,1.501,0.946,0.281,0.137,0.028
Ecuador,2018,5.973,6.076,5.871,2.228,0.889,1.330,0.736,0.556,0.114,0.120
Belize,2018,5.956,6.197,5.714,2.710,0.807,1.101,0.474,0.593,0.183,0.089
Lithuania,2018,5.952,6.037,5.867,2.130,1.197,1.527,0.716,0.350,0.026,0.006
Slovenia,2018,5.948,6.043,5.852,1.522,1.219,1.506,0.856,0.633,0.160,0.051
Romania,2018,5.945,6.038,5.852,2.269,1.116,1.219,0.726,0.528,0.088,0.001
Latvia,2018,5.933,6.004,5.863,2.139,1.148,1.454,0.671,0.363,0.092,0.066
Japan,2018,5.915,5.997,5.833,1.390,1.294,1.462,0.988,0.553,0.079,0.150
Mauritius,2018,5.891,6.006,5.777,1.851,1.090,1.387,0.684,0.584,0.245,0.050
Jamaica,2018,5.890,6.126,5.653,2.182,0.819,1.493,0.693,0.575,0.096,0.031
South Korea,2018,5.875,5.968,5.782,1.980,1.266,1.204,0.955,0.244,0.175,0.051
Northern Cyprus,2018,5.835,5.954,5.715,1.659,1.229,1.211,0.909,0.495,0.179,0.154
Russia,2018,5.810,5.876,5.744,2.091,1.151,1.479,0.599,0.399,0.065,0.025
Kazakhstan,2018,5.790,5.871,5.709,1.778,1.143,1.516,0.631,0.454,0.148,0.121
Cyprus,2018,5.762,5.870,5.655,1.774,1.229,1.191,0.909,0.423,0.202,0.035
Bolivia,2018,5.752,5.842,5.662,2.469,0.751,1.223,0.508,0.606,0.141,0.054
Estonia,2018,5.739,5.815,5.663,1.457,1.200,1.532,0.737,0.553,0.086,0.174
Paraguay,2018,5.681,5.784,5.577,1.932,0.835,1.522,0.615,0.541,0.162,0.074
Peru,2018,5.663,5.770,5.556,2.151,0.934,1.249,0.674,0.530,0.092,0.034
Kosovo,2018,5.662,5.757,5.567,2.255,0.855,1.230,0.578,0.448,0.274,0.023
Moldova,2018,5.640,5.712,5.568,2.659,0.657,1.301,0.620,0.232,0.171,0.000
Turkmenistan,2018,5.636,5.693,5.579,1.918,1.016,1.533,0.517,0.417,0.199,0.037
Hungary,2018,5.620,5.699,5.541,1.974,1.171,1.401,0.732,0.259,0.061,0.022
Libya,2018,5.566,5.687,5.445,1.918,0.985,1.350,0.553,0.496,0.116,0.148
Philippines,2018,5.524,5.637,5.411,2.056,0.775,1.312,0.513,0.643,0.120,0.105
Honduras,2018,5.504,5.630,5.378,2.328,0.620,1.205,0.622,0.459,0.197,0.074
Belarus,2018,5.483,5.558,5.409,1.684,1.039,1.498,0.700,0.307,0.101,0.154
Turkey,2018,5.483,5.583,5.382,1.729,1.148,1.380,0.686,0.324,0.106,0.109
Pakistan,2018,5.472,5.548,5.397,2.923,0.652,0.810,0.424,0.334,0.216,0.113
"Hong Kong SAR, China",2018,5.430,5.523,5.337,0.644,1.405,1.290,1.030,0.524,0.246,0.291
Portugal,2018,5.410,5.509,5.312,1.276,1.188,1.429,0.884,0.562,0.055,0.017
Serbia,2018,5.398,5.499,5.298,1.905,0.975,1.369,0.685,0.288,0.134,0.043
Greece,2018,5.358,5.456,5.260,1.948,1.154,1.202,0.879,0.131,0.000,0.044
Tajikistan,2018,5.352,5.434,5.271,2.248,0.474,1.179,0.598,0.503,0.214,0.136
Montenegro,2018,5.347,5.450,5.245,1.870,1.017,1.279,0.729,0.259,0.111,0.081
Croatia,2018,5.321,5.398,5.244,1.769,1.115,1.161,0.737,0.380,0.120,0.039
Dominican Republic,2018,5.302,5.426,5.178,1.461,0.982,1.441,0.614,0.578,0.120,0.106
Algeria,2018,5.295,5.406,5.183,2.209,0.979,1.154,0.687,0.077,0.055,0.135
Morocco,2018,5.254,5.328,5.179,2.448,0.779,0.797,0.669,0.460,0.026,0.074
China,2018,5.246,5.294,5.197,1.586,0.989,1.142,0.799,0.597,0.029,0.103
Azerbaijan,2018,5.201,5.270,5.131,1.776,1.024,1.161,0.603,0.430,0.031,0.176
Lebanon,2018,5.199,5.288,5.110,1.771,0.965,1.166,0.785,0.292,0.187,0.034
Macedonia,2018,5.185,5.279,5.091,1.675,0.959,1.239,0.691,0.394,0.173,0.052
Jordan,2018,5.161,5.269,5.052,1.697,0.822,1.265,0.645,0.468,0.130,0.134
Nigeria,2018,5.155,5.275,5.035,2.552,0.689,1.172,0.048,0.462,0.201,0.032
Kyrgyzstan,2018,5.131,5.217,5.045,1.736,0.530,1.416,0.594,0.540,0.281,0.035
Bosnia and Herzegovina,2018,5.129,5.224,5.035,1.883,0.915,1.078,0.758,0.280,0.216,0.000
Mongolia,2018,5.125,5.199,5.050,1.438,0.914,1.517,0.575,0.395,0.253,0.032
Vietnam,2018,5.103,5.177,5.030,1.447,0.715,1.365,0.702,0.618,0.177,0.079
Indonesia,2018,5.093,5.194,4.991,1.417,0.899,1.215,0.522,0.538,0.484,0.018
Bhutan,2018,5.082,5.196,4.969,1.348,0.796,1.335,0.527,0.541,0.364,0.171
Somalia,2018,4.982,5.087,4.876,2.961,0.000,0.712,0.115,0.674,0.238,0.282
Cameroon,2018,4.975,5.090,4.860,2.688,0.535,0.891,0.182,0.454,0.183,0.043
Bulgaria,2018,4.933,5.022,4.844,1.219,1.054,1.515,0.712,0.359,0.064,0.009
Nepal,2018,4.880,4.992,4.769,1.782,0.425,1.228,0.539,0.526,0.302,0.078
Venezuela,2018,4.806,4.956,4.655,1.442,0.996,1.469,0.657,0.133,0.056,0.052
Gabon,2018,4.758,4.860,4.657,1.715,1.036,1.164,0.404,0.356,0.032,0.052
Palestinian Territories,2018,4.743,4.851,4.636,1.853,0.642,1.217,0.602,0.266,0.086,0.076
South Africa,2018,4.724,4.831,4.617,1.368,0.940,1.410,0.330,0.516,0.103,0.056
Iran,2018,4.707,4.822,4.591,1.315,1.059,0.771,0.691,0.459,0.282,0.129
Ivory Coast,2018,4.671,4.780,4.562,2.463,0.541,0.872,0.080,0.467,0.146,0.103
Ghana,2018,4.657,4.765,4.549,2.093,0.592,0.896,0.337,0.499,0.212,0.029
Senegal,2018,4.631,4.707,4.555,2.026,0.429,1.117,0.433,0.406,0.138,0.082
Laos,2018,4.623,4.773,4.473,1.399,0.720,1.034,0.441,0.626,0.230,0.174
Tunisia,2018,4.592,4.677,4.508,1.722,0.900,0.906,0.690,0.271,0.040,0.063
Albania,2018,4.586,4.695,4.477,1.462,0.916,0.817,0.790,0.419,0.149,0.032
Sierra Leone,2018,4.571,4.712,4.429,2.855,0.256,0.813,0.000,0.355,0.238,0.053
Congo (Brazzaville),2018,4.559,4.688,4.430,2.041,0.682,0.811,0.343,0.514,0.091,0.077
Bangladesh,2018,4.500,4.583,4.418,1.664,0.532,0.850,0.579,0.580,0.153,0.144
Sri Lanka,2018,4.471,4.592,4.349,0.624,0.918,1.314,0.672,0.585,0.307,0.050
Iraq,2018,4.456,4.602,4.309,1.393,1.010,0.971,0.536,0.304,0.148,0.095
Mali,2018,4.447,4.539,4.355,2.130,0.370,1.233,0.152,0.367,0.139,0.056
Namibia,2018,4.441,4.654,4.229,1.287,0.874,1.281,0.365,0.519,0.051,0.064
Cambodia,2018,4.433,4.536,4.329,1.321,0.549,1.088,0.457,0.696,0.256,0.065
Burkina Faso,2018,4.424,4.517,4.332,2.145,0.314,1.097,0.254,0.312,0.175,0.128
Egypt,2018,4.419,4.510,4.328,1.444,0.885,1.025,0.553,0.312,0.092,0.107
Mozambique,2018,4.417,4.577,4.256,2.249,0.198,0.902,0.173,0.531,0.206,0.158
Kenya,2018,4.410,4.513,4.306,1.503,0.493,1.048,0.454,0.504,0.352,0.055
Zambia,2018,4.377,4.508,4.247,1.667,0.562,1.047,0.295,0.503,0.221,0.082
Mauritania,2018,4.356,4.447,4.264,1.905,0.557,1.245,0.292,0.129,0.134,0.093
Ethiopia,2018,4.350,4.429,4.272,1.884,0.308,0.950,0.391,0.452,0.220,0.146
Georgia,2018,4.340,4.425,4.256,1.624,0.853,0.592,0.643,0.375,0.038,0.215
Armenia,2018,4.321,4.412,4.229,1.483,0.816,0.990,0.666,0.260,0.077,0.028
Myanmar,2018,4.308,4.383,4.233,0.667,0.682,1.174,0.429,0.580,0.598,0.178
Chad,2018,4.301,4.420,4.181,2.553,0.358,0.907,0.053,0.189,0.181,0.060
Congo (Kinshasa),2018,4.245,4.341,4.149,2.274,0.069,1.136,0.204,0.312,0.197,0.052
India,2018,4.190,4.237,4.142,1.432,0.721,0.747,0.485,0.539,0.172,0.093
Niger,2018,4.166,4.270,4.061,2.283,0.131,0.867,0.221,0.390,0.175,0.099
Uganda,2018,4.161,4.282,4.040,1.742,0.322,1.090,0.237,0.450,0.259,0.061
Benin,2018,4.141,4.255,4.028,2.481,0.378,0.372,0.240,0.440,0.163,0.067
Sudan,2018,4.139,4.345,3.932,1.750,0.605,1.240,0.312,0.016,0.134,0.082
Ukraine,2018,4.103,4.197,4.009,0.927,0.793,1.413,0.609,0.163,0.187,0.011
Togo,2018,3.999,4.110,3.887,2.319,0.259,0.474,0.253,0.434,0.158,0.101
Guinea,2018,3.964,4.070,3.858,1.943,0.344,0.792,0.211,0.394,0.185,0.094
Lesotho,2018,3.808,4.045,3.572,1.392,0.472,1.215,0.079,0.423,0.116,0.112
Angola,2018,3.795,3.951,3.638,1.531,0.730,1.125,0.269,0.000,0.079,0.061
Madagascar,2018,3.774,3.857,3.690,1.778,0.262,0.908,0.402,0.221,0.155,0.049
Zimbabwe,2018,3.692,3.806,3.579,1.356,0.357,1.094,0.248,0.406,0.132,0.099
Afghanistan,2018,3.632,3.715,3.548,2.196,0.332,0.537,0.255,0.085,0.191,0.036
Botswana,2018,3.590,3.704,3.475,0.292,1.017,1.174,0.417,0.557,0.042,0.092
Malawi,2018,3.587,3.691,3.482,1.732,0.186,0.541,0.306,0.531,0.210,0.080
Haiti,2018,3.582,3.713,3.451,1.744,0.315,0.714,0.289,0.025,0.392,0.104
Liberia,2018,3.495,3.623,3.368,1.640,0.076,0.858,0.267,0.419,0.206,0.030
Syria,2018,3.462,3.664,3.260,1.244,0.689,0.382,0.539,0.088,0.376,0.144
Rwanda,2018,3.408,3.500,3.317,0.500,0.332,0.896,0.400,0.636,0.200,0.444
Yemen,2018,3.355,3.448,3.262,1.106,0.442,1.073,0.343,0.244,0.083,0.064
Tanzania,2018,3.303,3.414,3.193,0.628,0.455,0.991,0.381,0.481,0.270,0.097
South Sudan,2018,3.254,3.385,3.123,1.691,0.337,0.608,0.177,0.112,0.224,0.106
Central African Republic,2018,3.083,3.227,2.939,2.487,0.024,0.000,0.010,0.305,0.218,0.038
Burundi,2018,2.905,3.074,2.735,1.752,0.091,0.627,0.145,0.065,0.149,0.076
Norway,2017,7.537,7.594,7.480,2.277,1.616,1.534,0.797,0.635,0.362,0.316
Denmark,2017,7.522,7.582,7.462,2.314,1.482,1.551,0.793,0.626,0.355,0.401
Iceland,2017,7.504,7.622,7.386,2.323,1.481,1.611,0.834,0.627,0.476,0.154
Switzerland,2017,7.494,7.562,7.426,2.277,1.565,1.517,0.858,0.620,0.291,0.367
Finland,2017,7.469,7.528,7.410,2.430,1.444,1.540,0.809,0.618,0.245,0.383
Netherlands,2017,7.377,7.427,7.327,2.295,1.504,1.429,0.811,0.585,0.470,0.283
Canada,2017,7.316,7.384,7.248,2.187,1.479,1.481,0.835,0.611,0.436,0.287
New Zealand,2017,7.314,7.380,7.248,2.046,1.406,1.548,0.817,0.614,0.500,0.383
Sweden,2017,7.284,7.344,7.224,2.098,1.494,1.478,0.831,0.613,0.385,0.384
Australia,2017,7.284,7.357,7.211,2.065,1.484,1.510,0.844,0.602,0.478,0.301
Israel,2017,7.213,7.280,7.146,2.802,1.375,1.376,0.838,0.406,0.330,0.085
Costa Rica,2017,7.079,7.168,6.990,2.899,1.110,1.416,0.760,0.580,0.215,0.100
Austria,2017,7.006,7.071,6.941,2.139,1.487,1.460,0.815,0.568,0.316,0.221
United States,2017,6.993,7.075,6.911,2.218,1.546,1.420,0.774,0.506,0.393,0.136
Ireland,2017,6.977,7.043,6.911,1.774,1.536,1.558,0.810,0.573,0.428,0.298
Germany,2017,6.951,7.005,6.897,2.016,1.488,1.473,0.799,0.563,0.336,0.277
Belgium,2017,6.891,6.956,6.826,2.124,1.464,1.462,0.818,0.540,0.232,0.251
Luxembourg,2017,6.863,6.924,6.802,1.620,1.742,1.458,0.845,0.597,0.283,0.319
United Kingdom,2017,6.714,6.784,6.644,1.704,1.442,1.496,0.805,0.508,0.493,0.265
Chile,2017,6.652,6.739,6.565,2.510,1.253,1.284,0.819,0.377,0.327,0.082
United Arab Emirates,2017,6.648,6.722,6.574,1.735,1.626,1.266,0.727,0.608,0.361,0.324
Brazil,2017,6.635,6.725,6.545,2.769,1.107,1.431,0.617,0.437,0.162,0.111
Czech Republic,2017,6.609,6.684,6.534,2.452,1.353,1.434,0.754,0.491,0.088,0.037
Argentina,2017,6.599,6.690,6.508,2.614,1.185,1.440,0.695,0.495,0.109,0.060
Mexico,2017,6.578,6.671,6.485,2.837,1.153,1.211,0.710,0.413,0.121,0.133
Singapore,2017,6.572,6.637,6.507,1.216,1.692,1.354,0.949,0.550,0.346,0.464
Malta,2017,6.527,6.598,6.456,1.557,1.343,1.488,0.822,0.589,0.575,0.153
Uruguay,2017,6.454,6.546,6.362,2.172,1.218,1.412,0.719,0.579,0.175,0.178
Guatemala,2017,6.454,6.567,6.341,2.894,0.872,1.256,0.540,0.531,0.283,0.077
Panama,2017,6.452,6.557,6.347,2.307,1.234,1.373,0.706,0.550,0.211,0.071
France,2017,6.442,6.516,6.368,2.006,1.431,1.388,0.844,0.470,0.130,0.173
Thailand,2017,6.424,6.509,6.339,2.040,1.128,1.426,0.647,0.580,0.572,0.032
Taiwan Province of China,2017,6.422,6.495,6.349,2.127,1.434,1.385,0.794,0.361,0.258,0.064
Spain,2017,6.403,6.471,6.335,1.928,1.384,1.532,0.889,0.409,0.190,0.071
Qatar,2017,6.375,6.568,6.182,1.145,1.871,1.274,0.710,0.604,0.330,0.439
Colombia,2017,6.357,6.452,6.262,2.616,1.071,1.402,0.595,0.477,0.149,0.047
Saudi Arabia,2017,6.344,6.444,6.244,2.065,1.531,1.287,0.590,0.450,0.148,0.273
Trinidad and Tobago,2017,6.168,6.382,5.954,2.053,1.361,1.380,0.520,0.519,0.325,0.009
Kuwait,2017,6.105,6.192,6.018,1.640,1.633,1.260,0.632,0.496,0.228,0.215
Slovakia,2017,6.098,6.177,6.019,2.098,1.325,1.505,0.713,0.296,0.137,0.024
Bahrain,2017,6.087,6.179,5.995,1.656,1.488,1.323,0.653,0.537,0.173,0.257
Malaysia,2017,6.084,6.180,5.988,2.004,1.291,1.285,0.619,0.402,0.417,0.066
Nicaragua,2017,6.071,6.187,5.955,2.514,0.737,1.287,0.653,0.448,0.302,0.131
Ecuador,2017,6.008,6.106,5.910,2.290,1.001,1.286,0.686,0.455,0.150,0.140
El Salvador,2017,6.003,6.109,5.897,2.715,0.910,1.182,0.596,0.432,0.078,0.090
Poland,2017,5.973,6.054,5.892,1.798,1.292,1.446,0.699,0.520,0.158,0.059
Uzbekistan,2017,5.971,6.066,5.876,1.817,0.786,1.549,0.498,0.658,0.416,0.247
Italy,2017,5.964,6.043,5.885,1.813,1.395,1.445,0.853,0.256,0.173,0.028
Russia,2017,5.963,6.030,5.896,2.206,1.282,1.469,0.547,0.374,0.052,0.033
Belize,2017,5.956,6.197,5.715,2.632,0.908,1.081,0.450,0.548,0.240,0.097
Japan,2017,5.920,5.991,5.849,1.363,1.417,1.436,0.913,0.506,0.121,0.164
Lithuania,2017,5.902,5.983,5.821,2.228,1.315,1.474,0.629,0.234,0.010,0.012
Algeria,2017,5.872,5.978,5.766,2.568,1.092,1.146,0.618,0.233,0.069,0.146
Latvia,2017,5.850,5.920,5.780,1.994,1.261,1.405,0.639,0.326,0.153,0.074
South Korea,2017,5.838,5.923,5.753,1.880,1.402,1.128,0.900,0.258,0.207,0.063
Moldova,2017,5.838,5.908,5.768,2.808,0.729,1.252,0.589,0.241,0.209,0.010
Romania,2017,5.825,5.920,5.730,2.177,1.218,1.150,0.685,0.457,0.134,0.004
Bolivia,2017,5.823,5.904,5.742,2.443,0.834,1.228,0.474,0.559,0.226,0.060
Turkmenistan,2017,5.822,5.885,5.759,1.833,1.131,1.493,0.438,0.418,0.250,0.259
Kazakhstan,2017,5.819,5.904,5.734,1.785,1.285,1.384,0.606,0.437,0.202,0.119
North Cyprus,2017,5.810,5.897,5.723,1.549,1.347,1.186,0.835,0.471,0.267,0.155
Slovenia,2017,5.758,5.842,5.674,1.313,1.341,1.453,0.791,0.573,0.243,0.045
Peru,2017,5.715,5.812,5.618,2.207,1.035,1.219,0.630,0.450,0.127,0.047
Mauritius,2017,5.629,5.730,5.528,1.698,1.189,1.210,0.638,0.491,0.361,0.042
Cyprus,2017,5.621,5.715,5.527,1.621,1.356,1.131,0.845,0.355,0.271,0.041
Estonia,2017,5.611,5.688,5.534,1.358,1.321,1.477,0.695,0.479,0.099,0.183
Belarus,2017,5.569,5.646,5.492,1.723,1.157,1.445,0.638,0.295,0.155,0.156
Libya,2017,5.525,5.677,5.373,1.835,1.102,1.358,0.520,0.466,0.152,0.093
Turkey,2017,5.500,5.595,5.405,1.879,1.198,1.338,0.638,0.301,0.047,0.100
Paraguay,2017,5.493,5.577,5.409,1.685,0.933,1.507,0.579,0.474,0.224,0.091
"Hong Kong S.A.R., China",2017,5.472,5.550,5.394,0.555,1.552,1.263,0.943,0.491,0.374,0.294
Philippines,2017,5.430,5.545,5.315,1.973,0.858,1.254,0.468,0.585,0.194,0.099
Serbia,2017,5.395,5.492,5.298,1.947,1.069,1.258,0.651,0.209,0.220,0.041
Jordan,2017,5.336,5.448,5.224,1.791,0.991,1.239,0.605,0.418,0.172,0.120
Hungary,2017,5.324,5.403,5.245,1.716,1.286,1.343,0.688,0.176,0.078,0.037
Jamaica,2017,5.311,5.581,5.041,1.612,0.926,1.368,0.641,0.474,0.234,0.055
Croatia,2017,5.293,5.392,5.194,1.854,1.223,0.968,0.701,0.256,0.248,0.043
Kosovo,2017,5.279,5.365,5.193,2.011,0.951,1.138,0.541,0.260,0.320,0.057
China,2017,5.273,5.319,5.227,1.765,1.081,1.161,0.741,0.473,0.029,0.023
Pakistan,2017,5.269,5.360,5.178,2.792,0.727,0.673,0.402,0.235,0.315,0.124
Indonesia,2017,5.262,5.353,5.171,1.429,0.996,1.274,0.492,0.443,0.612,0.015
Venezuela,2017,5.250,5.370,5.130,1.789,1.128,1.431,0.617,0.154,0.065,0.064
Montenegro,2017,5.237,5.341,5.133,1.729,1.121,1.238,0.667,0.195,0.198,0.088
Morocco,2017,5.235,5.318,5.152,2.456,0.878,0.775,0.598,0.408,0.032,0.088
Azerbaijan,2017,5.234,5.299,5.169,1.762,1.154,1.152,0.541,0.398,0.045,0.181
Dominican Republic,2017,5.230,5.349,5.111,1.319,1.079,1.402,0.575,0.553,0.187,0.114
Greece,2017,5.227,5.325,5.129,1.749,1.289,1.239,0.810,0.096,0.000,0.043
Lebanon,2017,5.225,5.319,5.131,1.695,1.075,1.130,0.735,0.289,0.264,0.038
Portugal,2017,5.195,5.285,5.105,1.108,1.315,1.367,0.796,0.498,0.095,0.016
Bosnia and Herzegovina,2017,5.182,5.276,5.088,1.892,0.982,1.069,0.705,0.204,0.329,0.000
Honduras,2017,5.181,5.302,5.060,2.066,0.731,1.144,0.583,0.348,0.236,0.073
Macedonia,2017,5.175,5.272,5.078,1.617,1.065,1.208,0.645,0.326,0.254,0.060
Somalia,2017,5.151,5.242,5.060,3.117,0.023,0.721,0.114,0.602,0.292,0.282
Vietnam,2017,5.074,5.147,5.001,1.462,0.789,1.277,0.652,0.571,0.235,0.088
Nigeria,2017,5.074,5.210,4.938,2.365,0.784,1.216,0.057,0.395,0.231,0.026
Tajikistan,2017,5.041,5.111,4.971,1.849,0.525,1.271,0.529,0.472,0.249,0.146
Bhutan,2017,5.011,5.079,4.943,1.140,0.885,1.340,0.496,0.502,0.474,0.173
Kyrgyzstan,2017,5.004,5.090,4.918,1.537,0.596,1.394,0.553,0.455,0.429,0.039
Nepal,2017,4.962,5.067,4.857,1.891,0.480,1.179,0.504,0.440,0.394,0.073
Mongolia,2017,4.955,5.022,4.888,1.111,1.027,1.493,0.558,0.394,0.338,0.033
South Africa,2017,4.829,4.929,4.729,1.511,1.055,1.385,0.187,0.479,0.139,0.073
Tunisia,2017,4.805,4.884,4.726,1.890,1.007,0.868,0.613,0.290,0.050,0.087
Palestinian Territories,2017,4.775,4.882,4.668,1.879,0.716,1.156,0.566,0.255,0.114,0.089
Egypt,2017,4.735,4.825,4.645,1.702,0.990,0.997,0.520,0.282,0.129,0.114
Bulgaria,2017,4.714,4.804,4.624,0.996,1.161,1.434,0.708,0.289,0.113,0.011
Sierra Leone,2017,4.709,4.851,4.567,2.668,0.368,0.984,0.006,0.319,0.293,0.071
Cameroon,2017,4.695,4.797,4.593,2.334,0.564,0.946,0.133,0.430,0.236,0.051
Iran,2017,4.692,4.798,4.586,1.499,1.157,0.712,0.639,0.249,0.387,0.049
Albania,2017,4.644,4.752,4.536,1.490,0.996,0.804,0.731,0.381,0.201,0.040
Bangladesh,2017,4.608,4.690,4.526,1.979,0.587,0.735,0.533,0.478,0.172,0.124
Namibia,2017,4.574,4.770,4.378,1.482,0.964,1.098,0.339,0.520,0.077,0.093
Kenya,2017,4.553,4.656,4.450,1.652,0.560,1.068,0.310,0.453,0.445,0.065
Mozambique,2017,4.550,4.774,4.326,2.356,0.234,0.871,0.107,0.481,0.322,0.179
Myanmar,2017,4.545,4.615,4.475,1.115,0.367,1.123,0.398,0.514,0.838,0.189
Senegal,2017,4.535,4.602,4.468,1.790,0.479,1.180,0.409,0.378,0.183,0.115
Zambia,2017,4.514,4.644,4.384,1.827,0.636,1.003,0.258,0.462,0.250,0.078
Iraq,2017,4.497,4.623,4.371,1.319,1.103,0.979,0.501,0.289,0.200,0.107
Gabon,2017,4.465,4.557,4.373,1.323,1.198,1.156,0.357,0.312,0.044,0.076
Ethiopia,2017,4.460,4.543,4.377,2.016,0.339,0.865,0.353,0.409,0.313,0.165
Sri Lanka,2017,4.440,4.553,4.327,0.419,1.010,1.260,0.625,0.561,0.491,0.074
Armenia,2017,4.376,4.467,4.285,1.521,0.901,1.007,0.638,0.198,0.083,0.027
India,2017,4.315,4.372,4.258,1.519,0.792,0.754,0.455,0.470,0.232,0.092
Mauritania,2017,4.292,4.377,4.207,1.652,0.648,1.272,0.285,0.096,0.202,0.137
Congo (Brazzaville),2017,4.291,4.410,4.172,1.724,0.809,0.832,0.290,0.435,0.121,0.080
Georgia,2017,4.286,4.375,4.197,1.500,0.951,0.571,0.650,0.309,0.054,0.252
Congo (Kinshasa),2017,4.280,4.358,4.202,2.225,0.092,1.229,0.191,0.236,0.246,0.060
Mali,2017,4.190,4.270,4.110,1.668,0.476,1.281,0.169,0.307,0.183,0.105
Ivory Coast,2017,4.180,4.275,4.085,1.845,0.603,0.905,0.049,0.448,0.201,0.130
Cambodia,2017,4.168,4.279,4.057,1.043,0.602,1.006,0.430,0.633,0.386,0.068
Sudan,2017,4.139,4.346,3.932,1.687,0.660,1.214,0.291,0.015,0.182,0.090
Ghana,2017,4.120,4.223,4.017,1.578,0.667,0.874,0.296,0.423,0.257,0.025
Ukraine,2017,4.096,4.185,4.007,0.814,0.895,1.395,0.576,0.123,0.270,0.023
Uganda,2017,4.081,4.196,3.966,1.526,0.381,1.130,0.218,0.443,0.326,0.057
Burkina Faso,2017,4.032,4.124,3.940,1.727,0.350,1.043,0.216,0.324,0.251,0.120
Niger,2017,4.028,4.112,3.944,1.874,0.162,0.993,0.269,0.364,0.229,0.139
Malawi,2017,3.970,4.077,3.863,2.082,0.233,0.513,0.315,0.467,0.287,0.073
Chad,2017,3.936,4.035,3.837,2.071,0.438,0.954,0.041,0.162,0.216,0.054
Zimbabwe,2017,3.875,3.979,3.771,1.598,0.376,1.083,0.197,0.336,0.189,0.095
Lesotho,2017,3.808,4.044,3.572,1.430,0.521,1.190,0.000,0.391,0.157,0.119
Angola,2017,3.795,3.952,3.638,1.614,0.858,1.104,0.050,0.000,0.098,0.070
Afghanistan,2017,3.794,3.874,3.714,2.151,0.401,0.582,0.181,0.106,0.312,0.061
Botswana,2017,3.766,3.874,3.658,0.378,1.122,1.222,0.342,0.505,0.099,0.099
Benin,2017,3.657,3.746,3.568,1.886,0.431,0.435,0.210,0.426,0.208,0.061
Madagascar,2017,3.644,3.714,3.574,1.585,0.306,0.913,0.375,0.189,0.209,0.067
Haiti,2017,3.603,3.735,3.471,1.697,0.369,0.640,0.277,0.030,0.489,0.100
Yemen,2017,3.593,3.693,3.493,1.346,0.592,0.935,0.310,0.249,0.104,0.057
South Sudan,2017,3.591,3.726,3.456,1.880,0.397,0.601,0.163,0.147,0.286,0.117
Liberia,2017,3.533,3.654,3.412,1.673,0.119,0.872,0.230,0.333,0.267,0.039
